201,I,had to switch to international data plan on my phone almost constantly
202,staff,nice
203,floor,very slippery
204,mattress,very soft
205,location,Great
206,location,great
207,location,very comfortable
208,Housekeeping,did a good job
209,room,disappointing
210,room,had a good bed
211,quality of ingredients and preparation,not what we were hoping for
212,location,close to underground
213,location,good
214,location,had all required amenities
215,of the sockets,didn't work
216,room,good
217,location,great
218,room,had a microwave and fridge
219,staff,helpful
220,toiletries,nice
221,road noise,no
222,toilet paper,not the usual cheap
223,view,of a wall
224,bed,quite comfortable
225,toilet paper,soft
226,they,does'nt seem to have a wheel-chair lift
227,I,have no complaints
228,friendly staff,helped me with my luggage
229,I,"recommend this hotel, the Park Grand , Kensington."
230,they,should ask the hotel about facilities
231,We,stayed there before
232,our visit,up to our expectations
233,Hotel,clean
234,Hotel,comfortable
235,We,could have popped out for some ourselves
236,Breakfast staff,exceptionally friendly
237,Location,helpful.
238,We,nicely mentioned it to a member of staff standing next to it
239,Tea/coffee/milk,not stocked up in room
240,Hotel,tidy
241,We,was told NO milk
242,restaurants,Great
243,staff,Very friendly
244,bathroom,a little bit old as well as the towels
245,breakfast,good
246,price,ok
247,room,quite clean
248,room,really small (Deluxe)
249,bathroom,very convienient
250,Beds,a little noisy
251,hotel,comfortable
252,bathroom light in room 111,flickered quite a lot
253,hotel,lovely
254,Beds,not an issue
255,price,very fair
256,location,Excellent
257,staff,lovely
258,location,Friendly
259,staff,a bit old.
260,staff,clean
261,location,close to tube
262,location,excellent
263,area,Ideal for our 4 night stay.
264,area,Quiet
265,We,extremely happy
266,room,a great size
267,window,always slightly open
268,window,broken
269,location,great
270,staff,nice
271,staff,very helpful
272,microwave,very outdated
273,location,"close to tube, pubs and restaurants."
274,location,great
275,location,Excellent
276,location,close to tube station
277,Breakfast,fresh
278,bath towel,good sized
279,Breakfast,tasty
280,hotel,a very short walk to Earls Court tube station
281,hotel,attentive and friendly
282,hotel,makes it easy to get anywhere in London
283,bathroom towels,Small
284,Hotel,in easy reach of Tube and Earls Court area
285,location,Great
286,location,So close to earls Court tube.
287,beds,comfy
288,beds,lovely
289,noise,maintenance
290,shower options,2
291,shower options,available
292,Room facilities,excellent
293,toilet rolls,extra
294,food,fairly cheap for a hotel
295,tea/coffee amenities,full
296,halal options,great
297,food,large
298,food,many
299,Room facilities,provided
300,food,reasonably priced
301,shower head,regular
302,box/locker,safety
303,I,a little annoyed
304,they,apologised
305,they,busy to begin with which I understood
306,I,couldn't sleep in the middle
307,double bed,huge
308,receptionist dealing with my check in,sneezing/coughing multiple times into their bare hands
309,I,two single beds put together
310,I,waited at the reception to check in for quite a while
311,Carpet,also not very clean with some stains
312,Furniture,looks a bit run down
313,Furniture,not terrible
314,lift,so much slower than most lifts
315,chair in the room at the desk,sunk in
316,Furniture,uncomfortable
317,location,excellent
318,staff,Very nice
319,amenities,a bit old
320,rooms,clean
321,bed,comfy
322,amenities,modern
323,ventilation in the bathroom,non existent
324,shower,big
325,shower,good
326,shower,great
327,shower,had a blocked drain
328,TV,had no signal
329,deluxe double,tidy.
330,location,Fantastic
331,towels,disappointing
332,towels,small
333,towels,thin
334,staff,very helpful
335,staff,great
336,I,not going to complain about something so trivial
337,beans,not very hot
338,they,really looked after usBeen twice before
339,staff,very helpful
340,bed linen,changed every day
341,room,needs some attention
342,fridge,needs to be secured properly
343,restaurant,not over priced
344,room,serviced
345,Basement,cleanliness
346,hotel,Great
347,staff,efficient
348,staff,helpful
349,hotel,spotlessly clean
350,hotel,very quiet
351,location,Also a short walk to the subway station.
352,staff,Friendly
353,location,Great
354,Bathroom,a little tired
355,basement room,decent size
356,bath/shower,very slippery
357,location,with lots of bars/restaurants a short walkaway
358,location,Good
359,location,Very good
360,location. it,needs to be upgraded
361,staff,friendly
362,staff in the breakfast room,acted like a second pot was uncalled for
363,staff at the front desk,even helped us find a ManU football jersey for our grandson
364,staff at the front desk,excellent
365,room,felt cramped at times
366,breakfast staff,friendlier
367,staff in the breakfast room,less than help full
368,staff in the breakfast room,slow to bring coffee
369,room,smaller than expected
370,location,great
371,Room,spacious
372,bathroom noise and cell phone alert from the neighbor,audible
373,location,great
374,room,large
375,location,quiet
376,staff,super friendly
377,bed,way too soft
378,Location,convenient
379,Location,good
380,Location,ok
381,Room,comfortable
382,Breakfast,lots of choice but only scrambled eggs
383,It,very good
384,Staff,very helpful
385,staff,extra attentive
386,room,extremely small
387,breakfast,very good
388,location,Fabulous
389,location,great
390,hotel,very clean
391,staff,excellent
392,staff,looked after us so well for a special occasion
393,room,perfect for us
394,room,very clean
395,location,close to Earls Court Station
396,staff,friendly
397,hotel,good
398,staff,helpful
399,Location,great
400,Location,great
401,Pillows,ok for one person
402,room,on the small side
403,Pillows,too hard
404,staff,all lovely
405,towels,changed every day
406,We,complimentary
407,We,loved this hotel from the moment we arrived
408,I,really would recommend this hotel
409,room,so special with balloons
410,hotel,spotless
411,I,very welcoming and helpful on reception and at the front door of hotel
412,Staff,could be friendlier
413,Bathrooms,curt.
414,staff,helpful
415,staff,really friendly
416,location,Perfect
417,I,already removed from my card
418,location,comfortable
419,I,friendly
420,additionstaff,helpful
421,I,not
422,I,should of paid the additional night
423,staff,Lovely
424,location,Super
425,location,beside the tube for getting around.
426,staff,comfortable
427,pictures on the site,don't show how small it is
428,rooms,probably overpriced.
429,room,superior
430,rooms,tiny
431,bed,Comfortable
432,bed,No
433,ironing boardBut staff,cooperated to fix things
434,Rabbit warren Fridge,not working
435,location,excellent.
436,location,too bright in the room at night time
437,Location,Easy to get to/from Heathrow via underground
438,Location,excellent
439,Location,near Earl's court underground and its many restaurants.
440,Location,near History Museum/Victoria &amp; Albert Museum &amp; Gloucester tube
441,Room,small
442,furniture,old
443,room decor,a little dark
444,staff,friendly
445,food,good
446,staff,helpful
447,breakfast area,nice
448,room,clean
449,pillows and towels,could have been bigger or more of them
450,staff,friendly
451,location,great
452,staff,hard
453,staff,Brilliant
454,staff,friendly
455,location,Good
456,everything,good
457,Breakfast,great
458,buffet breakfast,nice
459,size of delux room,tiny
460,location,Perfect
461,Staff,friendly.
462,Room,had everything you would need.
463,Staff,really helpful
464,stay,short
465,I,clean
466,I,quiet
467,bed,very comfortable
468,staff,very friendly
469,safe,almost floor level
470,I,messed up the aircon
471,size of room,not huge but not pokey
472,We,ran out of milk
473,staff,super helpful
474,I,super helpful and friendly
475,Room,Clean
476,Room,spacious
477,Room,without any window and natural light
478,breakfast,just OK
479,staff,accommodating
480,window,could not be opened
481,breakfast offer,quite manageable
482,staff,very friendly
483,bed,very soft
484,we,added comments to our reservation
485,we,clearly add a note that we will arrive late at night for the check in
486,location,cofortable
487,we,sent messages to the hotel through the application
488,we,still marked as “no show”
489,reception staff,amazing
490,Earl’s Court tube,near by
491,property,very central to town
492,smell,clean
493,smell,great
494,smell,lovely
495,housekeeping,did not take out my trash
496,we,had to send a message for them to come take it out
497,it,nicely located
498,room,really small
499,just the paving outside,could have been a little cleaner
500,property,fine
501,staff,friendly
502,staff,lovely
503,staff,too very courteous
504,Wifi,doesn't often work in room
505,It,perfect for us
506,only one elevator,be slow to go up and down from the rooms
507,location,amazing
508,staff,friendly
509,drawers in our room,hard to open
510,everything else,perfect
511,earls court underground station,very cool
512,earls court underground station,very dark
513,earls court underground station,very easy to find
514,staff,Great
515,location,great
516,room,lovely
517,stair carpet,needs cleaning
518,phone in the room,did not work
519,we,had to drag and carry our luggage to the ground floor
520,tall young man who checked us,very attentive
521,we,very attentive and helpful
522,room,a bit small
523,Cleaning staff,helpful
524,Location,very convenient
525,Cleaning staff,very efficient
526,Location,very good
527,location,Great
528,staff,Very hospitable
529,we,clean
530,we,only needed somewhere to sleep
531,location,very friendly
532,air conditioning,wasn’t the best
533,place,Nice
534,bath,big
535,staff,nice
536,shower,super
537,staff,Helpful
538,bath towels,Small
539,location,Great
540,Staff,helpful
541,I,luckily had cards on me
542,Staff,polite
543,room,very pleasant
544,Staff,attentive
545,They,did put one in when we queried how to keep our supplies cold
546,They,forgot to put a bar fridge in the room at first
547,Breakfast,good
548,Staff,helpful
549,They,would have liked plain yoghurt rather than all fruit based
550,location,Very close to Earl's Court tube and loads of shops and restaurants close by
551,reception staff,abrupt and dismissive
552,location,great
553,hotel,lovely
554,reception staff,not a bit welcoming or even helpful
555,I,didn’t eat there
556,Room space,too small
557,location,central
558,Staff,great
559,breakfast,very poor
560,air conditioning,Good
561,breakfast,could have been better
562,cooked option,good
563,room,good.
564,bread,just about the cheapest one could buy
565,traffic noise,no
566,staff,pleasant
567,staff,Friendly
568,staff,excellent
569,location,5 minutes walk to the metro
570,AC grill,directed to the bed which is not appropriate
571,we,even verified this verbally with the reception staff that breakfast food all Halal
572,staff,friendly
573,quality of food,good
574,we,is written on it
575,Room,too small
576,location,very good
577,we,welcoming.
578,Breakfast,with limited options
579,Everything,class.
580,room,clean
581,Staffs,friendly
582,location,great
583,location,just 5 mins walk to underground station
584,bottles of water,Free
585,face washing,a must when using the London Underground
586,none of them,called us forward to check into our room
587,Elevator,could do with upgra
588,hot water,frustrating
589,Shower water pressure,great
590,facecloths,no
591,hot water,turned off one night without any warning
592,Staff,very quick to respond to any requests
593,Elevator,very slow
594,Air conditioning,worked well
595,I,5 foot 2 inches and 8 stone
596,I,asked for more
597,they,happily provided
598,bed shower,location
599,they,same size
600,I,smallest
601,I,so wasn’t asking for much
602,bath towels,would not wrap around your body.
603,staff,friendly
604,location,great
605,rooms,quite dark
606,rooms,small
607,rooms,very small
608,location,Good
609,most of rooms,small
610,Room,Attractive
611,location,Great
612,Room,a bit on the small side
613,shower,excellent quality
614,shower,powerful
615,Air conditioning,prevented room overheating during the hot weather
616,Room,very clean
617,Staff,very welcoming
618,room,lovely clean
619,bar area,nice
620,location,Great
621,pillows,a little low for my personal preference
622,walk to Hyde Park,nice
623,location,Good
624,i,could have complained
625,staff,friendly
626,staff,helpful
627,i,just couldn't be bothered to go back up
628,windows,made it very dark
629,i,was not explained at reception
630,Breakfast,a full english
631,room,all ready
632,We,didn’t know if it was free
633,We,got there
634,chef,happy to cook the eggs the way you wanted them
635,staff,helpful
636,We,left it there.
637,deluxe room,quite small
638,one of them,showed us to our room
639,staff,very friendly
640,room,very nice
641,4 members of staff in reception,very quick to get us checked in
642,We,weren’t meant to be able to check in until 2
643,We,couldn’t keep anything cold
644,it,didn’t get fixed
645,We,didn’t have to rush off
646,fridge in the room,didn’t work
647,We,great
648,hotel,only 2 minutes walk from Earls Court tube station
649,location,really good
650,location,Great
651,staff,Very clean
652,staff,Very friendly
653,Breakfast,buffet style
654,location,close to earls court tube
655,Bar closes,frustrating
656,checkout,helpful
657,tea bags,should be left in room
658,Bar closes,very early
659,team,will bring you some up
660,room,a good size
661,Bed,also very comfortable
662,Location,great
663,staff,very friendly
664,lighting,wasn't amazing in the room
665,staff,great
666,staff,very close to earl’s court underground
667,room,a bit small
668,room,adequate for our 2 night stay
669,location,excellent
670,location,just a short walk to Earls Court subway.
671,breakfast,nice
672,breakfast,well cooked
673,staff,Very helpful
674,staff,decorated the room as it was my mums Birthday
675,location,great
676,room,lovely
677,location,Great
678,location,access tourist London and Heathrow Airport
679,water pressure,excellent
680,shower,fabulous
681,Staff,offered water when we arrived
682,air conditioning,set to 19C
683,Staff,very nice
684,room,well stocked with water
685,location,Great
686,location,good.
687,breakfast room,lovely
688,view from our room,not great
689,Staff,lovely
690,Staff,v accomodating
691,bedroom,a good size for London
692,location,good
693,i,oiled be a bit more critical
694,bedroom,very clean
695,rate,very good
696,location,well worth it
697,I,also accommodated our request to have three rooms together
698,I,always smiling and welcoming us back or sending us off in the morning telling us to have a great day
699,I,great
700,I,had our rooms ready with very little wait
701,location,super easy access to Earl’s Court tube station and plenty of food options
702,I,very friendly and helpful
703,Air conditioning,cool on hot days
704,I,definitely recommend it
705,Everyone,doing their best
706,they,had just brought breakfast back recently since before COVID
707,showers,had the best pressure I’ve ever seen
708,coffee in the rooms,instant
709,they,might still be working out the kinks
710,rooms,nice
711,they,no
712,Breakfast,not great
713,rooms,seemed to be short staffed
714,they,very pleasant
715,buffet,wasn’t very well stocked
716,we,won’t take for granted after other places we visited on this trip
717,I,would stay here again
718,It,did the trick
719,breakfast,Good
720,breakfast,More
721,bed,Very comfy
722,room,could have been a bit bigger
723,staff,excellent
724,We,really enjoyed our breakfasts
725,rooms,Limited choices
726,rooms,not so fresh
727,rooms,not so good
728,It,handy for where we were staying
729,Our room,opposite the lift
730,staff,polite
731,location,Great
732,Staff,kindly agreed to keep our luggage while we were in the countryside
733,Lift,very slow
734,we,booked breakfast
735,we,clean
736,we,good with tube station and shops a few minutes walk
737,they,had no note of it
738,breakfast,wasn’t very warm
739,Rooms,well equipped
740,We,always return to the hotel for these reasons
741,location,great
742,We,loyal customers
743,Mitul and his team,made sure we had an exceptional stay at your hotel.
744,We,making sure we got to the train station okay.
745,team,very considerate
746,staff,friendly
747,they,need new towels and pillows
748,rooms,needs renovation
749,they,very friendly
750,bar or lounge,not
751,location,not a  a proper
752,bar or lounge,proper
753,location,very good for tube
754,Location,Nothing really
755,location,Excellent
756,Room,So close to Earls Court Underground
757,Room,along an uninviting corridor with several sets of stairs
758,Shower,easy to use and control
759,Room,felt like it was in the basement
760,Temperature control,good
761,Bed,very comfortable
762,location,great.
763,bathroom,small
764,bathroom,with no storage
765,facilities,excellent
766,location,great for tube network
767,ventilation corridor,going through our room
768,noses,loud
769,Air-condition,noisy
770,noses,woke me up
771,Bathroom,a tad small
772,beds,comfy
773,breakfast,good
774,maids,left cleaning product behind after clean
775,Toilet paper,very cheap
776,staff,welcoming
777,Our room,a bit of a walk
778,Our room,also on the very bottom floor
779,quilt,could have been bigger
780,pillows,didn’t get a great nights sleep
781,quilt,did’t fit the bed
782,property,in an excellent location for where we were visiting
783,pillows,quite hard on the bed
784,location,2 mins from the tube giving easy access to central London and only 15 minutes walk to Kensington High Street
785,room,a little small
786,room,clean
787,location,excellent
788,location,good
789,room,pleasant
790,staff,very attentive
791,shower,did t drain well
792,staff,friendly
793,beds,limp
794,beds,old
795,beds,sagging
796,walls,thin
797,Location,No
798,Location,around the corner from Earl’s Court station
799,Room,clean
800,Room,comfortable
801,Location,excellent
802,rooms,clean comfortable
803,staff,friendly
804,I,informed the desk
805,one of them,really small comparing to the other 2
806,cleaners,so loud in the morning
807,rooms,still not really quite
808,rooms,very close to earls court station
809,I,wake up everyone in the floor with their loud voice
810,Room,Lovely
811,i,expected a better view than a white wall
812,location,good
813,landing light,too bright at night
814,staff,Friendly
815,lift,a bit slow
816,location,absolutely great
817,bed,comfy
818,breakfast,good
819,they,Would definitely return for future trips
820,they,couldn’t have been more helpful resolving.
821,they,do everything they can to make your stay comfortable
822,Staff,hard working
823,Staff,very attentive
824,staffLarge,Excellent
825,location,Great
826,Room,below street level
827,location,below street level room
828,Indian restaurant,cellent
829,location,dark.
830,Room,near cleaners office
831,location,near to tube
832,Room,so no daylight
833,location,a few minutes walk to the tube and within 15 mins walk of London sights.
834,bedroom,a little bit small
835,bedroom,clean
836,location,excellent
837,staff,friendly
838,staff,very helpful
839,bedroom,well kept
840,staff,wonderful
841,staff,friendly
842,our room,good
843,Location,great
844,staff,helpful
845,locationStaff,very friendly
846,staff,great
847,rooms,nice spacious
848,experience,really good
849,beds,so comfy
850,Staff,so helpful
851,Our room,comfortable
852,staff,could've made the situation more pleasurable
853,Location,excellent
854,We,fantastic
855,lobby,full of guests all waiting to check-in
856,We,had an appointment 90mins after check in time
857,my partner,had to get changed and do her make up in the lobby toilets
858,Location,overall great value for money
859,room,overall great value for money.
860,room,still wasn't ready
861,room,very clean
862,Our room,wasn't ready at the given check in time
863,room,comfortable
864,bar,could have been better
865,staff,friendly
866,location,great
867,staff,Lovely
868,property,Really nice
869,room,Very clean
870,room,comfortable
871,welcome,nice
872,property,well located for the tube and central London
873,bottles of water,Complementary
874,room,big
875,view,comfortable
876,room,did not look like the room we had booked in the booking.com advert
877,view,good
878,view,kind
879,Staff,moved us to a different room without fuss
880,reception staff,very accommodating
881,location,great
882,our room,quite dark
883,our room,set back down a small corridor
884,our room,smaller
885,rooms,a bit on the small side
886,location,excellent
887,rooms,have all the basics
888,location,Perfect
889,location,amazing
890,location,barely works
891,location,can’t be relied upon
892,location,comfortable
893,location,right next to Earl’s Court station and near shops .
894,rooms,small
895,bathroom,a bit tired looking
896,staff,helpful
897,decor,nice
898,bathroom,there wasn’t a toilet brush
899,restaurant  staff,rude
900,toiletries,Could do with a bit of TLC
901,location,Good
902,Bed,comfy
903,toiletries,included
904,hallways,just need a carpet
905,sofa in our room,scuffed
906,location,very polite and welcoming.
907,Wifi,so bad
908,rooms,Very clean
909,rooms,nice
910,Hotels location,perfect
911,service,sometimes quite slow
912,Hotels location,very near to the underground station
913,fridge,clean comfortable
914,staff,friendly
915,microwave,quite
916,staff,Friendly
917,furniture,quite old
918,rooms,small
919,smell,musty
920,staff,very hospitable
921,Location,clean
922,Location,comfortable
923,size,good
924,Everything,great
925,Location,lovely
926,staff,very friendly
927,teas and biscuits,Nice
928,I,don't think I'd pay more than I did.
929,I,excellent
930,newspapers,free
931,I,good
932,It,has the 4-star feel
933,I,very comfortable
934,Hotel,Expensive.
935,selection of International TV Channels,Poor
936,staff,Really helpful
937,operation of the hotel elevators.,Slow
938,Location,great
939,Water pressure in the shower,not great
940,location,Great
941,location,a short 5 minute walk to Earls Court station
942,They,does not match the neighborhood of Kensington
943,building from the outside,modern
944,They,orginally put us on the ground floor
945,location,super small
946,They,then was able to move us up
947,location,with loads of food and coffee options
948,location,Great
949,fridge,No
950,I,a walking distance from the tube station
951,Room,clean
952,I,definitely be returning soon
953,Staff,friendly
954,Staff,helpful
955,Furniture,needs to be replaced
956,area,nice
957,Furniture,outdated
958,I,super nice and welcoming
959,Phone,wasn’t connected /or working
960,room,Small
961,carpet,old
962,noise,No
963,room,clean
964,Bed,comfortable
965,water,complimentary
966,head,detachable
967,Wifi,free
968,Staff,kind
969,Staff,lead us to our room
970,Bed,lovely
971,Overall stay,really good
972,Bed,spacious
973,room,spacious enough
974,Staff,very nice
975,lighting,better
976,Everything,clean
977,breakfast,delicious
978,I,disappointed
979,air,fresh
980,location,great
981,staff,helpful
982,hotel,in a great location
983,my wife,suffers with allergies
984,staff,very polite
985,I,would have expected to be able to see outside
986,Park,best
987,room,clean
988,upgrade,free
989,upgrade,great
990,I,not super clean
991,I,recommend the hotel
992,I,should be removed as soon as possible
993,staff,very friendly
994,I,would book again.
995,Earl's Court tube station,Very convenient
996,Room,comfortable
997,Bedroom decor,dated
998,Staff,friendly.
999,Earl's Court tube station,just down the road
1000,Bedroom decor,quite dark
1001,facilities,Comfortable
1002,restaurant,Nice
1003,facilities,good
1004,location,Great
1005,Staff,always friendly
1006,room,clean
1007,location,close to Earls Court Station.
1008,room,comfortable
1009,Staff,greeted you with a smile.
1010,location,perfectly formed
1011,location,wasn't the biggest
1012,We,Definitely getting to our room
1013,breakfast staff,ran around.
1014,We,still ended up walking quite a few flights of stairs
1015,Breakfast,very good
1016,We,were taken in a lift
1017,location,Great
1018,staff,Great
1019,staff,excellent
1020,room,modern
1021,location,very clean
1022,chocolate,complimentary
1023,chocolate,delicious
1024,receptionist,offering us free breakfast
1025,our room,wasn’t serviced
1026,My room,clean
1027,My room,lovely
1028,My room,very comfortable
1029,room,Decent sized
1030,reception,Friendly
1031,location,Great
1032,Communal areas,a bit tired/scuffed
1033,Furniture,comfortable
1034,Furniture,dark brown
1035,Air con,didn’t make room cool enough
1036,TV handset,didn’t work well
1037,room,horrible
1038,Furniture,not too hard.
1039,Furniture,tired out/old
1040,Room,furnishingExcellent
1041,location,Great
1042,towels,Small
1043,bed water,comfy
1044,bed water,re stocked each day.
1045,shower,very low pressure
1046,staff,all around nice
1047,staff,attentive
1048,hotel location,close to Earl's Court Station and lots of amenities and restaurants
1049,hotel location,comfortable
1050,staff,excellent
1051,staff,friendly
1052,hotel location,great
1053,staff,helpful
1054,internet,not great
1055,hotel,quiet
1056,internet,slow
1057,internet,sometimes failed completely
1058,hotel location,vibrant
1059,location,Great
1060,Reception staff,charming
1061,I,definitely be returning in the future.
1062,Room,impressive
1063,Room,problem free
1064,place,thoroughly pleasant
1065,staff,Nice
1066,staff,friendly
1067,Rooms,on the small side
1068,morning breakfast,No variety
1069,morning breakfast,always the same.
1070,staff,always the same. No variety
1071,staff,very helpful
1072,Basement room,claustraphobic
1073,staff,helpful
1074,staff,very friendly
1075,Basement room,with no phone signal window or natural light
1076,location,Great
1077,room,nice
1078,location,Great
1079,breakfast,Very nice
1080,location,on a quiet road.
1081,location,Excellent
1082,staff,Very friendly
1083,shower,Very good rainfall
1084,beds,comfortable
1085,green light just inside the door on the fire alarm,didn't allow the room to be fully dark at night
1086,staff,helpful
1087,twin room,spacious
1088,green light just inside the door on the fire alarm,very bright
1089,Staying with a friend,very comfortable
1090,location,Great
1091,room,clean
1092,communal stairways,looked a bit shabby
1093,staff,accommodating
1094,We,given an another room immediately
1095,windows,no
1096,We,reported the issue
1097,We,understanding
1098,windows,very claustrophobic
1099,staff,very friendly
1100,location,was given an another room immediately
1101,we,didn't choose to have breakfast
1102,Corridor door,kept banging when people went through
1103,Location,perfect
1104,Room,a little smaller than we expected
1105,staff,friendly
1106,toilet,also very clean
1107,I,comfortable
1108,situation,didn't have a fridge
1109,I,really appreciate the shower head at the top
1110,One guest,triggered the smoke alarm when trying to smoke in the room
1111,room,very clean
1112,Staff,friendly
1113,shower,good
1114,room,nice
1115,mattress,not firm enough for me
1116,Location,5 minute walk to the tube
1117,Location,Great
1118,beds,comfy
1119,beds,lovely
1120,Rooms,very clean
1121,Location,"walking distance to Natural History Museum, Portobello road, and lots more."
1122,pool or sauna,No
1123,breakfast,no
1124,Location,perfect
1125,vegan offerings on the menuBetter cleaning of the shower runners,More
1126,Breakfast,good
1127,soy milk,was offered
1128,room,clean
1129,bed,lovely
1130,bathroom,nice
1131,staff,very Polite
1132,experience,very positive
1133,Location,great
1134,wifi,did not work in our room
1135,I,didn't have time to enjoy the restaurant
1136,location,excellent
1137,staff,extremely friendly
1138,internet,free
1139,I,had a hard time getting on and staying on
1140,I,not great
1141,lift,graffiti
1142,location,Great
1143,fire alarm system,a fault
1144,night's sleep,great
1145,room,really comfortable
1146,fire alarm system,went off throughout the hotel at 1:50am
1147,room,Very close to earls court tube
1148,Lobby,clean
1149,room,comfortable
1150,room,didnt bother me
1151,Lobby,felt grubby
1152,Lobby,newly renovated
1153,location,great
1154,staff,very friendly
1155,staff,very helpful
1156,room,adequate
1157,staff,extremely polite
1158,staff,helpful
1159,staff,Nice
1160,beds,comfy
1161,location,exceptional
1162,breakfast,few choices
1163,breakfast,not good at all
1164,breakfast,very bland
1165,hotel,a 5 minute walk subway
1166,We,have nothing negative to say about the hotel
1167,yoghurt,not
1168,fruit salad,not on offer
1169,Breakfasts,only offer one diced fruit.
1170,yoghurt,plain
1171,reception staff,very accommodating
1172,location,Great
1173,location,Very convenient for Earls Court station
1174,Breakfast,a little limited
1175,location,easy walking distance to Kensington High Street
1176,room,felt a little tiered
1177,staff,friendly
1178,Our room,had very limited natural light
1179,Breakfast,nice
1180,room,unexpected
1181,location,very friendly.
1182,staff,very keen to help
